Symbol
SPX
VIX
XSP
AAPL
ABNB
ACN
ADBE
ADSK
AEP
AFRM
AMAT
AMD
AMZN
ANET
ASML
ASTS
AVGO
AWK  
AXP  
B  
BABA  
BLK  
BLSH  
BRK.B  
BX  
CAT  
CELH  
CNC  
COIN  
COST  
COTY  
CPRT  
CRCL  
CRM
CRVW  
CVX  
DAL  
DELL  
DHI  
DIS  
DUK  
DUOL  
DXYZ  
EL  
ESTC  
FI  
FIG  
FMCC  
FSLR  
FTNT  
GE
GLD  
GOOG  
GOOGL  
HCA  
HD  
HHH  
HOOD  
HUM  
IBKR  
INTC  
INTU  
ISRG  
IWM  
JD  
JHX  
JNJ  
JPM
KO  
KR  
LEN  
LLY  
LMT  
LOW  
LVMUY  
MCD  
MELI  
META  
MGM  
MP  
MRNA  
MRVL  
MS  
MSFT  
MSTR
MU  
NBIS  
NET  
NFLX  
NKE  
NMAX  
NOW  
NVDA  
NVO  
OIH  
OKE  
OKLO  
ONON  
OPEN  
ORCL  
OXY  
PANW
PDD  
PEP  
PFE  
PLTR  
POOL  
PYPL  
QQQ  
QUBT  
RBLX  
RBRK  
RDT  
RGTI  
RMD  
RXT  
SATS  
SBUX  
SEZL
SMCI  
SNPS  
SOFI  
SOL  
SOXL  
SOXX  
SPGI  
SPOT  
SPY  
SQQQ  
TCOM  
TEM  
TGT  
TLT  
TQQQ  
TSLA  
TSM
TTD  
TYL  
U  
UBER  
ULTA  
UNH  
UPST  
US10Y  
US20Y  
USAR  
UTHR  
V  
VEEV  
VOO  
VRT  
WM  
WMT
XLE  
XOM  
XOP  
XYZ

